id,region,month,year,kwh,bill_amount,household_size,submitter_name,created_at
1,Littoral,4,2024,131.06,7164.0,2,Anonyme,2026-02-28 13:22:55.137745
2,Est,8,2026,109.85,5493.0,2,Benjamin Leroy,2026-02-03 13:22:55.137745
3,Ouest,7,2025,209.48,13359.0,4,Benjamin Leroy,2025-08-04 13:22:55.137745
4,Centre,3,2026,189.64,11792.0,5,Emma Mercier,2025-07-02 13:22:55.137745
5,Est,9,2026,105.7,5285.0,8,Nicolas Garnier,2026-04-19 13:22:55.137745
6,Sud,1,2026,42.34,2117.0,1,Valerie Blanchard,2026-02-02 13:22:55.137745
7,Ouest,2,2026,120.84,6356.0,5,Michel Durand,2025-10-28 13:22:55.137745
8,Extrême-Nord,6,2025,32.43,1621.0,9,Anonyme,2025-08-25 13:22:55.137745
9,Sud-Ouest,4,2024,71.08,3554.0,4,Jean Dupont,2025-07-20 13:22:55.137745
10,Nord,9,2024,91.53,4577.0,5,Luc Fontaine,2025-07-25 13:22:55.137745
11,Centre,1,2024,22.08,1104.0,3,Valerie Blanchard,2025-08-05 13:22:55.137745
12,Extrême-Nord,11,2025,42.42,2121.0,1,Pierre Bernard,2025-07-19 13:22:55.137745
13,Nord-Ouest,3,2025,99.19,4959.0,5,Stephanie Vincent,2025-07-12 13:22:55.137745
14,Est,9,2024,104.0,5200.0,9,Sophie Garcia,2026-03-18 13:22:55.137745
15,Adamaoua,4,2026,79.37,3969.0,9,Pierre Bernard,2026-04-21 13:22:55.137745
16,Sud,10,2026,76.41,3821.0,1,Marc Leduc,2026-02-05 13:22:55.137745
17,Adamaoua,2,2024,73.19,3659.0,1,Florence Mathieu,2025-07-05 13:22:55.137745
18,Ouest,12,2026,47.11,2355.0,3,Marie Martin,2025-07-29 13:22:55.137745
19,Extrême-Nord,6,2025,25.46,1273.0,7,Nicolas Garnier,2025-11-19 13:22:55.137745
20,Nord-Ouest,10,2026,66.45,3322.0,9,Valerie Blanchard,2025-08-18 13:22:55.137745
21,Centre,6,2025,48.7,2435.0,8,Catherine Moreau,2025-07-02 13:22:55.137745
22,Sud-Ouest,7,2026,54.86,2743.0,10,Anne Leblanc,2025-06-14 13:22:55.137745
23,Est,7,2026,90.91,4545.0,1,Claude Rousseau,2025-04-25 13:22:55.137745
24,Nord-Ouest,4,2026,101.75,5087.0,6,Emma Mercier,2026-01-28 13:22:55.137745
25,Sud-Ouest,6,2026,136.6,7601.0,8,Thomas Dufour,2025-09-18 13:22:55.137745
26,Sud,3,2026,61.13,3057.0,4,Benjamin Leroy,2025-12-24 13:22:55.137745
27,Littoral,11,2024,20.0,1000.0,3,Michel Durand,2025-11-16 13:22:55.137745
28,Nord,9,2025,96.24,4812.0,8,Benjamin Leroy,2026-02-26 13:22:55.137745
29,Nord-Ouest,12,2025,20.0,1000.0,4,Catherine Moreau,2025-06-26 13:22:55.137745
30,Extrême-Nord,7,2025,47.88,2394.0,3,Thomas Dufour,2026-04-18 13:22:55.137745
31,Sud,11,2024,54.48,2724.0,8,Julien Girard,2026-02-08 13:22:55.137745
32,Sud-Ouest,8,2026,95.38,4769.0,5,Emma Mercier,2025-09-02 13:22:55.137745
33,Centre,10,2024,55.11,2756.0,2,Isabelle Lefevre,2025-08-29 13:22:55.137745
34,Est,2,2026,154.52,9017.0,9,Valerie Blanchard,2025-05-26 13:22:55.137745
35,Extrême-Nord,1,2026,20.0,1000.0,5,Benjamin Leroy,2025-05-08 13:22:55.137745
36,Est,4,2024,77.49,3874.0,2,Pierre Bernard,2026-04-12 13:22:55.137745
37,Extrême-Nord,3,2025,42.21,2111.0,2,Thomas Dufour,2025-08-30 13:22:55.137745
38,Nord-Ouest,9,2025,101.69,5085.0,8,Luc Fontaine,2025-11-10 13:22:55.137745
39,Adamaoua,8,2024,131.76,7219.0,4,Stephanie Vincent,2025-07-23 13:22:55.137745
40,Sud,2,2024,52.26,2613.0,7,Catherine Moreau,2025-09-25 13:22:55.137745
41,Littoral,2,2026,90.16,4508.0,3,Thomas Dufour,2025-12-29 13:22:55.137745
42,Sud-Ouest,8,2026,41.66,2083.0,4,Isabelle Lefevre,2025-05-22 13:22:55.137745
43,Ouest,12,2026,189.58,11787.0,5,Luc Fontaine,2025-10-01 13:22:55.137745
44,Nord-Ouest,5,2024,114.61,5864.0,1,Sophie Garcia,2025-12-08 13:22:55.137745
45,Ouest,3,2025,186.92,11577.0,7,Catherine Moreau,2025-04-29 13:22:55.137745
46,Nord-Ouest,8,2025,95.36,4768.0,6,Stephanie Vincent,2025-10-01 13:22:55.137745
47,Sud-Ouest,1,2025,46.9,2345.0,7,Anonyme,2026-04-14 13:22:55.137745
48,Littoral,9,2025,20.0,1000.0,3,Isabelle Lefevre,2026-04-16 13:22:55.137745
49,Sud,11,2026,74.08,3704.0,6,Michel Durand,2026-02-21 13:22:55.137745
50,Est,7,2026,149.34,8608.0,1,Catherine Moreau,2025-08-29 13:22:55.137745
51,Est,7,2024,89.0,4450.0,7,Marie Martin,2026-01-03 13:22:55.137745
52,Nord,6,2024,54.79,2739.0,8,Michel Durand,2025-09-27 13:22:55.137745
53,Extrême-Nord,11,2025,42.42,2121.0,10,Benjamin Leroy,2025-08-15 13:22:55.137745
54,Littoral,6,2024,146.75,8403.0,6,Anonyme,2025-08-20 13:22:55.137745
55,Adamaoua,11,2024,171.97,10396.0,5,Nicolas Garnier,2025-12-22 13:22:55.137745
56,Nord,3,2024,55.48,2774.0,7,Jean Dupont,2025-08-04 13:22:55.137745
57,Nord,3,2024,20.0,1000.0,9,Marie Martin,2025-05-24 13:22:55.137745
58,Centre,11,2026,102.41,5120.0,5,Pierre Bernard,2025-09-16 13:22:55.137745
59,Nord-Ouest,4,2024,109.31,5466.0,8,Pierre Bernard,2025-07-15 13:22:55.137745
60,Sud,7,2024,92.79,4639.0,4,Luc Fontaine,2025-11-11 13:22:55.137745
61,Ouest,8,2024,50.67,2534.0,3,Marie Martin,2025-04-29 13:22:55.137745
62,Nord-Ouest,8,2025,30.28,1514.0,2,Anne Leblanc,2026-01-11 13:22:55.137745
63,Extrême-Nord,8,2026,47.79,2389.0,3,Thomas Dufour,2025-07-10 13:22:55.137745
64,Ouest,10,2025,90.83,4542.0,6,Thomas Dufour,2025-08-11 13:22:55.137745
65,Extrême-Nord,6,2026,27.52,1376.0,7,Thomas Dufour,2025-11-14 13:22:55.137745
66,Nord,6,2024,34.35,1717.0,1,Nicolas Garnier,2026-01-09 13:22:55.137745
67,Ouest,6,2025,55.11,2756.0,5,Julien Girard,2025-10-13 13:22:55.137745
68,Nord,11,2025,54.93,2747.0,3,Stephanie Vincent,2025-09-28 13:22:55.137745
69,Sud-Ouest,3,2025,142.02,8030.0,3,Benjamin Leroy,2025-07-07 13:22:55.137745
70,Extrême-Nord,8,2026,37.35,1867.0,10,Florence Mathieu,2026-01-21 13:22:55.137745
71,Centre,2,2024,122.68,6502.0,10,Benjamin Leroy,2025-05-03 13:22:55.137745
72,Adamaoua,6,2026,111.52,5620.0,8,Pierre Bernard,2025-04-30 13:22:55.137745
73,Nord-Ouest,2,2024,148.57,8547.0,8,Julien Girard,2025-09-25 13:22:55.137745
74,Extrême-Nord,1,2026,76.53,3827.0,10,Marc Leduc,2025-08-15 13:22:55.137745
75,Nord-Ouest,8,2024,98.05,4903.0,1,Pierre Bernard,2025-07-30 13:22:55.137745
76,Ouest,9,2026,38.75,1938.0,5,Isabelle Lefevre,2026-04-15 13:22:55.137745
77,Nord-Ouest,6,2024,20.0,1000.0,7,Sophie Garcia,2025-09-23 13:22:55.137745
78,Littoral,6,2026,119.35,6239.0,9,Isabelle Lefevre,2026-02-08 13:22:55.137745
79,Sud,5,2026,20.0,1000.0,10,Valerie Blanchard,2025-08-18 13:22:55.137745
80,Sud,5,2025,51.2,2560.0,2,Sophie Garcia,2026-01-24 13:22:55.137745
81,Adamaoua,9,2024,61.81,3091.0,7,Jean Dupont,2026-03-13 13:22:55.137745
82,Extrême-Nord,7,2026,59.95,2997.0,3,Thomas Dufour,2025-09-01 13:22:55.137745
83,Est,3,2025,77.93,3896.0,6,Nicolas Garnier,2025-07-10 13:22:55.137745
84,Nord-Ouest,4,2024,106.73,5337.0,7,Claude Rousseau,2025-08-16 13:22:55.137745
85,Adamaoua,7,2025,156.19,9149.0,1,Nicolas Garnier,2026-01-11 13:22:55.137745
86,Nord,5,2025,91.87,4593.0,3,Luc Fontaine,2026-03-21 13:22:55.137745
87,Ouest,12,2026,149.24,8600.0,9,Benjamin Leroy,2025-11-11 13:22:55.137745
88,Nord-Ouest,10,2025,89.14,4457.0,1,Emma Mercier,2025-05-27 13:22:55.137745
89,Adamaoua,4,2026,35.49,1775.0,7,Isabelle Lefevre,2025-06-28 13:22:55.137745
90,Extrême-Nord,11,2026,32.03,1601.0,1,Benjamin Leroy,2025-05-09 13:22:55.137745
91,Nord,10,2025,94.26,4713.0,2,Isabelle Lefevre,2026-02-04 13:22:55.137745
92,Centre,10,2024,195.93,12288.0,7,Catherine Moreau,2025-06-27 13:22:55.137745
93,Sud,12,2024,79.76,3988.0,8,Benjamin Leroy,2025-04-24 13:22:55.137745
94,Sud-Ouest,7,2025,132.0,7238.0,10,Emma Mercier,2025-08-17 13:22:55.137745
95,Sud,10,2026,64.75,3237.0,3,Sophie Garcia,2026-02-05 13:22:55.137745
96,Sud-Ouest,8,2025,60.24,3012.0,2,Claude Rousseau,2026-02-14 13:22:55.137745
97,Est,9,2026,42.51,2126.0,4,Pierre Bernard,2026-03-05 13:22:55.137745
98,Centre,11,2025,161.01,9530.0,9,Valerie Blanchard,2025-08-14 13:22:55.137745
99,Sud-Ouest,3,2026,25.03,1252.0,6,Thomas Dufour,2025-05-05 13:22:55.137745
100,Centre,1,2024,108.43,5421.0,3,Valerie Blanchard,2026-03-12 13:22:55.137745
101,Ouest,7,2025,83.19,4159.0,6,Florence Mathieu,2026-02-14 13:22:55.137745
102,Ouest,4,2025,124.46,6643.0,6,Jean Dupont,2025-11-28 13:22:55.137745
103,Sud,7,2026,52.58,2629.0,5,Nicolas Garnier,2025-11-01 13:22:55.137745
104,Adamaoua,5,2024,134.33,7422.0,4,Luc Fontaine,2026-01-27 13:22:55.137745
105,Est,3,2024,77.99,3899.0,2,Julien Girard,2025-10-21 13:22:55.137745
